"slope","log_slope","mean_pi_fst","close_pi_fst","far_pi_fst","log_migration","log_mutation","number_of_QTL","Vs","pop","time","reps"
0.00362888930794521,0.00285573295315783,0.497334938958114,0.499760975651314,0.467556531006923,-Inf,-5,1,10,1000,50000,78
0.00344898120589268,0.00275834522439583,0.495786740265544,0.486395422668655,0.558013778790369,-Inf,-5,1,2,1000,50000,80
0.00681548701749627,0.005853288737991,0.498092495672274,0.496108232420569,0.451698888600888,-Inf,-5,1,5,1000,50000,94
-0.0231819255560624,-0.0226956691826174,0.472527485250156,0.469611232306253,0.363828587891453,-5,-5,1,10,1000,50000,85
-0.00985610830014445,-0.00937006151450507,0.492132042839752,0.499102280061448,0.458149948778063,-5,-5,1,2,1000,50000,87
-0.015557423030266,-0.0148381550694488,0.476177803352486,0.475045735526731,0.433761639775419,-5,-5,1,5,1000,50000,80
-0.107900029287332,-0.152213415494934,0.380146715979648,0.505853101791071,0.15225366220975,-4,-5,1,10,1000,50000,84
-0.0499964768177617,-0.0593596339730824,0.436965275798905,0.527350430201738,0.249770673820778,-4,-5,1,2,1000,50000,90
-0.0834662723773498,-0.110264700163069,0.396561205567075,0.447384497398559,0.174983266264253,-4,-5,1,5,1000,50000,85
-0.134583898722211,-0.352363744015383,0.229691723795912,0.456607422003412,0.0196593045922216,-3,-5,1,10,1000,50000,97
-0.130025786105503,-0.24469538737798,0.319609550806277,0.461417100246215,0.058188514728064,-3,-5,1,2,1000,50000,86
-0.142117325910924,-0.314867615945288,0.27973146304963,0.444429887602133,0.0446567732752831,-3,-5,1,5,1000,50000,83
-0.062839311898783,-0.498955857960786,0.0759563903041818,0.246577875280212,0.0045813320544,-2,-5,1,10,1000,50000,85
-0.125346139083679,-0.475411142307005,0.178534180202585,0.378512889450943,0.00905327295734177,-2,-5,1,2,1000,50000,79
-0.0906221940303345,-0.523261655168214,0.113445840229074,0.300481347289489,0.00591645250358523,-2,-5,1,5,1000,50000,88
-0.0000092899010947749,-0.0116680884870559,0.000410172259903553,0.000508743243707865,0.000325912559814607,-1,-5,1,10,1000,50000,89
-0.0110913562174916,-0.57672424226848,0.0121562794933908,0.0506280381420891,0.00059760680481954,-1,-5,1,2,1000,50000,87
0.0000106086521597564,0.0103964706014585,0.000396562461908391,0.000431555263063953,0.000558711241709302,-1,-5,1,5,1000,50000,86
