"slope","log_slope","mean_pi_fst","close_pi_fst","far_pi_fst","log_migration","log_mutation","number_of_QTL","Vs","pop","time","reps"
-0.00139363756079085,-0.0185758128869472,0.036370342024294,0.0408300741279731,0.0211265064350357,-Inf,-5,1,10,1000,50000,154
-0.000530416075012293,-0.00731210401702135,0.0387898428861761,0.0382620959870179,0.0356234290925951,-Inf,-5,1,2,1000,50000,164
-0.000894543674403834,-0.0131713214207655,0.0387778224972737,0.0374772340438512,0.0410475100355056,-Inf,-5,1,5,1000,50000,164
0.00134456233964013,0.0162292391661565,0.0384965897414309,0.0462035179521579,0.049875987709764,-5,-5,1,10,1000,50000,176
0.00236448576778146,0.0253518138311285,0.0386453765170874,0.0300596648324162,0.0424699816574954,-5,-5,1,2,1000,50000,150
-0.0000321329897420485,-0.000594931590525585,0.0401476143865658,0.0473883191595798,0.0542520182505046,-5,-5,1,5,1000,50000,174
0.0084482787868507,0.0806013544451044,0.0452454167139009,0.0361130597349957,0.0755474451969574,-4,-5,1,10,1000,50000,156
0.00599528189974489,0.0618578883382779,0.0422734338875519,0.029569311218109,0.0594899480990495,-4,-5,1,2,1000,50000,160
0.00570744176506175,0.0544611041821496,0.0457292360685988,0.0375570775894276,0.0576207312517018,-4,-5,1,5,1000,50000,158
0.00315365068355583,0.0197043266921857,0.063021371171071,0.0657699189100723,0.0510738779883769,-3,-5,1,10,1000,50000,162
0.00896600097542332,0.0721795285793636,0.0529455581340002,0.0404999623305629,0.0699398750580109,-3,-5,1,2,1000,50000,166
0.00590352012840724,0.0471385139908291,0.053617485711491,0.0392885918267776,0.0702099599182307,-3,-5,1,5,1000,50000,162
-0.0154668970882363,-0.0775168607260464,0.0831535959421152,0.137962141327074,0.0752571077205269,-2,-5,1,10,1000,50000,156
-0.00495877282024503,-0.0317273709299629,0.0716623307065612,0.0771437261840797,0.062059918848313,-2,-5,1,2,1000,50000,162
-0.0118025529053798,-0.0638970264231064,0.0795921595406338,0.105041908941484,0.0573416464725869,-2,-5,1,5,1000,50000,154
0.00462375434892591,0.0280955301272614,0.0716681319738345,0.0773839555319829,0.0820778190299969,-1,-5,1,10,1000,50000,166
-0.0126832793098239,-0.0654142235095955,0.0795726811826164,0.128910735297226,0.0640676746824116,-1,-5,1,2,1000,50000,142
0.00129859911494562,0.010807903078262,0.0678610070059923,0.0786312267976093,0.0700715143756088,-1,-5,1,5,1000,50000,152
